congress_member,sex,age,party,chamber
SenatorBaldwin,F,60,D,S
SenJohnBarrasso,H,70,R,S
SenatorBennet,H,60,D,S
MarshaBlackburn,F,70,R,S
SenBlumenthal,H,76,D,S
RoyBlunt,H,72,R,S
CoryBooker,H,53,D,S
JohnBoozman,H,72,R,S
SenatorBraun,H,68,R,S
SenSherrodBrown,H,70,D,S
SenatorCantwell,F,64,D,S
SenCapito,F,69,R,S
SenatorCardin,H,79,D,S
SenatorCarper,H,75,D,S
SenBobCasey,H,62,D,S
SenBillCassidy,H,65,R,S
ChrisCoons,H,59,D,S
JohnCornyn,H,70,R,S
SenCortezMasto,F,58,D,S
SenTomCotton,H,45,R,S
SenKevinCramer,H,61,R,S
MikeCrapo,H,72,R,S
SenTedCruz,H,52,R,S
SteveDaines,H,60,R,S
SenDuckworth,F,54,D,S
SenatorDurbin,H,78,D,S
SenJoniErnst,F,52,R,S
SenFeinstein,F,89,D,S
SenatorFischer,F,72,R,S
SenGillibrand,F,56,D,S
LindseyGrahamSC,H,67,R,S
ChuckGrassley,H,89,R,S
SenatorHagerty,H,63,R,S
SenatorHassan,F,64,D,S
HawleyMO,H,43,R,S
MartinHeinrich,H,52,D,S
SenatorHick,H,70,D,S
maziehirono,F,75,D,S
SenJohnHoeven,H,65,R,S
SenHydeSmith,F,63,R,S
JimInhofe,H,88,R,S
SenRonJohnson,H,67,R,S
timkaine,H,64,D,S
SenMarkKelly,H,58,D,S
SenJohnKennedy,H,72,R,S
SenAngusKing,H,78,D,S
SenAmyKlobuchar,F,62,D,S
SenatorLankford,H,54,R,S
SenatorLeahy,H,82,D,S
SenMikeLee,H,52,R,S
SenatorLujan,H,50,D,S
SenLummis,F,68,R,S
Sen_JoeManchin,H,75,D,S
SenMarkey,H,76,D,S
SenatorMenendez,H,68,D,S
SenJeffMerkley,H,66,D,S
JerryMoran,H,68,R,S
lisamurkowski,F,67,R,S
ChrisMurphyCT,H,51,D,S
PattyMurray,F,74,D,S
ossoff,H,35,D,S
SenAlexPadilla,H,49,D,S
RandPaul,H,59,R,S
SenGaryPeters,H,64,D,S
senrobportman,H,73,R,S
SenJackReed,H,67,D,S
SenatorRisch,H,79,R,S
SenatorRomney,H,75,R,S
SenJackyRosen,F,65,D,S
marcorubio,H,51,R,S
SenSanders,H,81,D,S
SenSchumer,H,72,D,S
SenRickScott,H,70,R,S
SenatorTimScott,H,57,R,S
SenatorShaheen,F,75,D,S
SenatorSinema,F,46,D,S
SenTinaSmith,F,64,D,S
SenStabenow,F,72,D,S
SenDanSullivan,H,58,R,S
SenatorTester,H,66,D,S
SenJohnThune,H,61,R,S
SenThomTillis,H,62,R,S
SenToomey,H,61,R,S
SenTuberville,H,68,R,S
ChrisVanHollen,H,63,D,S
MarkWarner,H,68,D,S
SenatorWarnock,H,53,D,S
SenWarren,F,73,D,S
SenWhitehouse,H,67,D,S
SenatorWicker,H,71,R,S
RonWyden,H,73,D,S
SenToddYoung,H,50,R,S
RepAdams,F,76,D,Rep
Robert_Aderholt,H,57,R,Rep
RepPeteAguilar,H,43,D,Rep
